Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Nippon India Power & Infra Fund(G)-Direct Plan,Sector Funds,Sanjay Doshi,INF204K01I92,50%,1967,1.56%,Ranked,42,48%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Technology Fund(G)-Direct Plan,Sector Funds,Vaibhav Dusad,INF109K01Z48,100%,9357,0.88%,Ranked,73,93%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Franklin India Technology Fund(G)-Direct Plan,Sector Funds,Anand Radhakrishnan,INF090I01FE6,58%,715,1.42%,Ranked,57,70%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 57%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Sundaram Fin Serv Opp Fund(G)-Direct Plan,Sector Funds,Rohit Seksaria,INF903J01NB8,31%,617,0.53%,Ranked,50,63%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 30%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
DSP India T.I.G.E.R Fund(G)-Direct Plan,Sector Funds,Rohit Singhania,INF740K01PU7,75%,1788,1.39%,Ranked,56,67%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Healthcare Opp Fund(G)-Direct Plan,Sector Funds,Tanmaya Desai,INF200K01UP2,100%,1736,1.08%,Ranked,58,76%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Infrastructure Fund(G)-Direct Plan,Sector Funds,Ihab Dalwai,INF109K018M4,38%,2255,1.66%,Ranked,50,60%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 38%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Dhaval Gala,INF209K014W1,43%,2561,1.14%,Ranked,48,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 42%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
UTI Banking and Financial Services Fund(G)-Direct Plan,Sector Funds,Amit Premchandani,INF789F01SN3,33%,867,1.36%,Ranked,47,52%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata India Pharma & Healthcare Fund(G)-Direct Plan,Sector Funds,Meeta Shetty,INF277K019A3,50%,535,0.99%,Ranked,55,66%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Jensen's Alpha - Ability to beat the benchmark is high.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
UTI Healthcare Fund(G)-Direct Plan,Sector Funds,V. Srivatsa,INF789F01TO9,17%,721,1.45%,Ranked,43,49%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 16%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
IDFC Infrastructure Fund(G)-Direct Plan,Sector Funds,Sachin Relekar,INF194K01X46,53%,651,1.20%,Ranked,39,46%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 52%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Sundaram Infra Advantage Fund(G)-Direct Plan,Sector Funds,Ashish Aggarwal,INF903J01F92,22%,642,1.83%,Ranked,37,42%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 22%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
HDFC Infrastructure Fund(G)-Direct Plan,Sector Funds,Rakesh Vyas,INF179K01WQ2,77%,628,1.80%,Ranked,37,45%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 76%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
UTI Transportation & Logistics Fund(G)-Direct Plan,Sector Funds,Sachin Trivedi,INF789F01SH5,50%,2013,1.00%,Ranked,79,100%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Unsatisfactory - Fund Manger strike rate is 50%.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Magnum Global Fund(G)-Direct Plan,Thematic Fund,R. Srinivasan,INF200K01SN1,73%,5480,1.24%,Ranked,85,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 73%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","
","
"
